Word;Frequency;Frequency in %
safety;0,0002;0,0152
save;0,0002;0,0152
shalt;0,0002;0,0152
short;0,0002;0,0152
sick;0,0002;0,0152
silence;0,0002;0,0152
sing;0,0002;0,0152
sits;0,0002;0,0152
slave;0,0002;0,0152
souls;0,0002;0,0152
spirits;0,0002;0,0152
stage;0,0002;0,0152
stir;0,0002;0,0152
sudden;0,0002;0,0152
terms;0,0002;0,0152
themselves;0,0002;0,0152
throw;0,0002;0,0152
thyself;0,0002;0,0152
told;0,0002;0,0152
took;0,0002;0,0152
treason;0,0002;0,0152
trumpet;0,0002;0,0152
twelve;0,0002;0,0152
under;0,0002;0,0152
vile;0,0002;0,0152
visage;0,0002;0,0152
visit;0,0002;0,0152
warlike;0,0002;0,0152
went;0,0002;0,0152
whereon;0,0002;0,0152
writ;0,0002;0,0152
year;0,0002;0,0152
yes;0,0002;0,0152
above;0,0001;0,0122
affair;0,0001;0,0122
affection;0,0001;0,0122
angel;0,0001;0,0122
argument;0,0001;0,0122
ass;0,0001;0,0122
assay;0,0001;0,0122
assume;0,0001;0,0122
b;0,0001;0,0122
beggar;0,0001;0,0122
begun;0,0001;0,0122
beneath;0,0001;0,0122
birth;0,0001;0,0122
bones;0,0001;0,0122
book;0,0001;0,0122
bore;0,0001;0,0122
born;0,0001;0,0122
bosom;0,0001;0,0122
burial;0,0001;0,0122
calls;0,0001;0,0122
cannon;0,0001;0,0122
censure;0,0001;0,0122
certain;0,0001;0,0122
change;0,0001;0,0122
closes;0,0001;0,0122
clouds;0,0001;0,0122
commandment;0,0001;0,0122
commend;0,0001;0,0122
consent;0,0001;0,0122
consequence;0,0001;0,0122
count;0,0001;0,0122
countenance;0,0001;0,0122
country;0,0001;0,0122
cousin;0,0001;0,0122
cunning;0,0001;0,0122
cup;0,0001;0,0122
cursed;0,0001;0,0122
deep;0,0001;0,0122
deliver;0,0001;0,0122
desires;0,0001;0,0122
desperate;0,0001;0,0122
didst;0,0001;0,0122
died;0,0001;0,0122
direct;0,0001;0,0122
discretion;0,0001;0,0122
distemper;0,0001;0,0122
distracted;0,0001;0,0122
dreams;0,0001;0,0122
drift;0,0001;0,0122
ease;0,0001;0,0122
ecstasy;0,0001;0,0122
entertainment;0,0001;0,0122
except;0,0001;0,0122
express;0,0001;0,0122
fain;0,0001;0,0122
favour;0,0001;0,0122
fight;0,0001;0,0122
follows;0,0001;0,0122
forget;0,0001;0,0122
frame;0,0001;0,0122
freely;0,0001;0,0122
gainst;0,0001;0,0122
gallows;0,0001;0,0122
glad;0,0001;0,0122
gonzago;0,0001;0,0122
grown;0,0001;0,0122
guard;0,0001;0,0122
habit;0,0001;0,0122
hall;0,0001;0,0122
hang;0,0001;0,0122
happy;0,0001;0,0122
hearing;0,0001;0,0122
hecuba;0,0001;0,0122
hence;0,0001;0,0122
herein;0,0001;0,0122
high;0,0001;0,0122
horrible;0,0001;0,0122
iii;0,0001;0,0122
image;0,0001;0,0122
imagination;0,0001;0,0122
imports;0,0001;0,0122
incestuous;0,0001;0,0122
infinite;0,0001;0,0122
instant;0,0001;0,0122
iv;0,0001;0,0122
keeps;0,0001;0,0122
kept;0,0001;0,0122
knows;0,0001;0,0122
ladies;0,0001;0,0122
lands;0,0001;0,0122
lead;0,0001;0,0122
leaves;0,0001;0,0122
leisure;0,0001;0,0122
lend;0,0001;0,0122
length;0,0001;0,0122
lest;0,0001;0,0122
lights;0,0001;0,0122
lives;0,0001;0,0122
lock;0,0001;0,0122
main;0,0001;0,0122
maker;0,0001;0,0122
meant;0,0001;0,0122
mess;0,0001;0,0122
messenger;0,0001;0,0122
methought;0,0001;0,0122
mock;0,0001;0,0122
modesty;0,0001;0,0122
month;0,0001;0,0122
months;0,0001;0,0122
motion;0,0001;0,0122
n;0,0001;0,0122
native;0,0001;0,0122
need;0,0001;0,0122
occasion;0,0001;0,0122
offer;0,0001;0,0122
pastoral;0,0001;0,0122
pate;0,0001;0,0122
pause;0,0001;0,0122
pay;0,0001;0,0122
person;0,0001;0,0122
pity;0,0001;0,0122
platform;0,0001;0,0122
pleasure;0,0001;0,0122
polack;0,0001;0,0122
possible;0,0001;0,0122
practice;0,0001;0,0122
present;0,0001;0,0122
priest;0,0001;0,0122
property;0,0001;0,0122
quality;0,0001;0,0122
quantity;0,0001;0,0122
quite;0,0001;0,0122
rate;0,0001;0,0122
ready;0,0001;0,0122
remembrance;0,0001;0,0122
rose;0,0001;0,0122
secret;0,0001;0,0122
seeing;0,0001;0,0122
send;0,0001;0,0122
sends;0,0001;0,0122
shadow;0,0001;0,0122
shortly;0,0001;0,0122
sigh;0,0001;0,0122
six;0,0001;0,0122
sleeping;0,0001;0,0122
sleeps;0,0001;0,0122
snow;0,0001;0,0122
soldier;0,0001;0,0122
sorry;0,0001;0,0122
spade;0,0001;0,0122
speed;0,0001;0,0122
stands;0,0001;0,0122
stars;0,0001;0,0122
start;0,0001;0,0122
stop;0,0001;0,0122
straight;0,0001;0,0122
strong;0,0001;0,0122
stronger;0,0001;0,0122
tale;0,0001;0,0122
talk;0,0001;0,0122
teach;0,0001;0,0122
ten;0,0001;0,0122
tend;0,0001;0,0122
tender;0,0001;0,0122
thence;0,0001;0,0122
thinking;0,0001;0,0122
thrice;0,0001;0,0122
thrift;0,0001;0,0122
throat;0,0001;0,0122
treasure;0,0001;0,0122
trick;0,0001;0,0122
twas;0,0001;0,0122
twenty;0,0001;0,0122
twice;0,0001;0,0122
twill;0,0001;0,0122
unnatural;0,0001;0,0122
violence;0,0001;0,0122
violent;0,0001;0,0122
warrant;0,0001;0,0122
wear;0,0001;0,0122
weeds;0,0001;0,0122
weep;0,0001;0,0122
weigh;0,0001;0,0122
whereto;0,0001;0,0122
white;0,0001;0,0122
wi;0,0001;0,0122
wide;0,0001;0,0122
wild;0,0001;0,0122
wish;0,0001;0,0122
wits;0,0001;0,0122
wittenberg;0,0001;0,0122
wonder;0,0001;0,0122
worm;0,0001;0,0122
wretched;0,0001;0,0122
ye;0,0001;0,0122
yea;0,0001;0,0122
aboard;0,0001;0,0091
accident;0,0001;0,0091
actor;0,0001;0,0091
addition;0,0001;0,0091
admiration;0,0001;0,0091
advice;0,0001;0,0091
affliction;0,0001;0,0091
ah;0,0001;0,0091
alack;0,0001;0,0091
allow;0,0001;0,0091
along;0,0001;0,0091
ambitious;0,0001;0,0091
angels;0,0001;0,0091
argal;0,0001;0,0091
armour;0,0001;0,0091
ask;0,0001;0,0091
avoid;0,0001;0,0091
beating;0,0001;0,0091
beckons;0,0001;0,0091
becomes;0,0001;0,0091
below;0,0001;0,0091
bend;0,0001;0,0091
bent;0,0001;0,0091
bitter;0,0001;0,0091
blame;0,0001;0,0091
bless;0,0001;0,0091
blow;0,0001;0,0091
bold;0,0001;0,0091
borne;0,0001;0,0091
bow;0,0001;0,0091
boy;0,0001;0,0091
brave;0,0001;0,0091
breathe;0,0001;0,0091
brow;0,0001;0,0091
burst;0,0001;0,0091
canst;0,0001;0,0091
cap;0,0001;0,0091
captain;0,0001;0,0091
carry;0,0001;0,0091
ceremony;0,0001;0,0091
chamber;0,0001;0,0091
chaste;0,0001;0,0091
cheer;0,0001;0,0091
chief;0,0001;0,0091
children;0,0001;0,0091
clay;0,0001;0,0091
close;0,0001;0,0091
clowns;0,0001;0,0091
complexion;0,0001;0,0091
confession;0,0001;0,0091
consider;0,0001;0,0091
content;0,0001;0,0091
corruption;0,0001;0,0091
corse;0,0001;0,0091
counsel;0,0001;0,0091
creatures;0,0001;0,0091
cried;0,0001;0,0091
crimes;0,0001;0,0091
defend;0,0001;0,0091
delight;0,0001;0,0091
delights;0,0001;0,0091
dew;0,0001;0,0091
dispatch;0,0001;0,0091
doomsday;0,0001;0,0091
doors;0,0001;0,0091
draws;0,0001;0,0091
dreadful;0,0001;0,0091
drinks;0,0001;0,0091
drum;0,0001;0,0091
dry;0,0001;0,0091
ducats;0,0001;0,0091
edge;0,0001;0,0091
election;0,0001;0,0091
encounter;0,0001;0,0091
enemy;0,0001;0,0091
entreat;0,0001;0,0091
envenom;0,0001;0,0091
estate;0,0001;0,0091
evil;0,0001;0,0091
excellence;0,0001;0,0091
faithful;0,0001;0,0091
fancy;0,0001;0,0091
fantasy;0,0001;0,0091
faults;0,0001;0,0091
feast;0,0001;0,0091
fee;0,0001;0,0091
feeling;0,0001;0,0091
fellows;0,0001;0,0091
few;0,0001;0,0091
fiery;0,0001;0,0091
finding;0,0001;0,0091
finds;0,0001;0,0091
five;0,0001;0,0091
fix;0,0001;0,0091
flat;0,0001;0,0091
flowers;0,0001;0,0091
foolish;0,0001;0,0091
foot;0,0001;0,0091
force;0,0001;0,0091
former;0,0001;0,0091
forms;0,0001;0,0091
forward;0,0001;0,0091
francisco;0,0001;0,0091
gall;0,0001;0,0091
gaming;0,0001;0,0091
gather;0,0001;0,0091
generous;0,0001;0,0091
giving;0,0001;0,0091
gods;0,0001;0,0091
going;0,0001;0,0091
golden;0,0001;0,0091
goodly;0,0001;0,0091
green;0,0001;0,0091
gross;0,0001;0,0091
guilt;0,0001;0,0091
hadst;0,0001;0,0091
hangers;0,0001;0,0091
haply;0,0001;0,0091
harsh;0,0001;0,0091
hears;0,0001;0,0091
